status file for recon-all
Tue Jan  2 15:48:52 UTC 2018
#@# MotionCor Tue Jan  2 15:49:20 UTC 2018
#@# Talairach Tue Jan  2 15:49:50 UTC 2018
#@# Talairach Failure Detection Tue Jan  2 15:56:26 UTC 2018
#@# Nu Intensity Correction Tue Jan  2 15:56:27 UTC 2018
#@# Intensity Normalization Tue Jan  2 16:02:44 UTC 2018
#@# Skull Stripping Tue Jan  2 16:07:52 UTC 2018
#@# EM Registration Tue Jan  2 17:14:53 UTC 2018
#@# CA Normalize Tue Jan  2 17:53:44 UTC 2018
#@# CA Reg Tue Jan  2 17:57:18 UTC 2018
#@# SubCort Seg Wed Jan  3 01:28:20 UTC 2018
#@# Merge ASeg Wed Jan  3 04:26:20 UTC 2018
#@# Intensity Normalization2 Wed Jan  3 04:26:20 UTC 2018
#@# Mask BFS Wed Jan  3 04:36:03 UTC 2018
#@# WM Segmentation Wed Jan  3 04:36:09 UTC 2018
#@# Fill Wed Jan  3 04:42:13 UTC 2018
#@# Tessellate lh Wed Jan  3 04:44:22 UTC 2018
#@# Tessellate rh Wed Jan  3 04:44:39 UTC 2018
#@# Smooth1 lh Wed Jan  3 04:44:59 UTC 2018
#@# Smooth1 rh Wed Jan  3 04:45:12 UTC 2018
#@# Inflation1 lh Wed Jan  3 04:45:24 UTC 2018
#@# Inflation1 rh Wed Jan  3 04:46:42 UTC 2018
#@# QSphere lh Wed Jan  3 04:48:01 UTC 2018
#@# QSphere rh Wed Jan  3 04:56:52 UTC 2018
#@# Fix Topology Copy lh Wed Jan  3 05:05:54 UTC 2018
#@# Fix Topology Copy rh Wed Jan  3 05:05:54 UTC 2018
#@# Fix Topology lh Wed Jan  3 05:05:55 UTC 2018
#@# Fix Topology rh Wed Jan  3 05:39:46 UTC 2018
#@# Make White Surf lh Wed Jan  3 06:25:05 UTC 2018
#@# Make White Surf rh Wed Jan  3 06:36:21 UTC 2018
#@# Smooth2 lh Wed Jan  3 06:46:53 UTC 2018
#@# Smooth2 rh Wed Jan  3 06:47:04 UTC 2018
#@# Inflation2 lh Wed Jan  3 06:47:16 UTC 2018
#@# Inflation2 rh Wed Jan  3 06:48:30 UTC 2018
#@# Curv .H and .K lh Wed Jan  3 06:49:44 UTC 2018
#@# Curv .H and .K rh Wed Jan  3 06:52:35 UTC 2018
#@# Curvature Stats lh Wed Jan  3 06:55:31 UTC 2018
#@# Curvature Stats rh Wed Jan  3 06:55:41 UTC 2018
#@# Sphere lh Wed Jan  3 06:55:49 UTC 2018
#@# Sphere rh Wed Jan  3 08:21:32 UTC 2018
#@# Surf Reg lh Wed Jan  3 09:28:30 UTC 2018
#@# Surf Reg rh Wed Jan  3 10:49:58 UTC 2018
#@# Jacobian white lh Wed Jan  3 12:13:26 UTC 2018
#@# Jacobian white rh Wed Jan  3 12:13:29 UTC 2018
#@# AvgCurv lh Wed Jan  3 12:13:32 UTC 2018
#@# AvgCurv rh Wed Jan  3 12:13:35 UTC 2018
#@# Cortical Parc lh Wed Jan  3 12:13:37 UTC 2018
#@# Cortical Parc rh Wed Jan  3 12:14:01 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 12:14:24 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 12:36:00 UTC 2018
#@# Surf Volume lh Wed Jan  3 12:57:57 UTC 2018
#@# Surf Volume rh Wed Jan  3 12:58:02 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 12:58:07 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 13:16:06 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 13:18:18 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 13:20:26 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 13:20:56 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 13:21:27 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 13:22:35 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 13:23:42 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 13:24:07 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 13:24:31 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 13:25:32 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 13:26:37 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 13:26:47 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 13:26:56 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 13:27:36 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 13:35:45 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 13:44:15 UTC 2018
#@# APas-to-ASeg Wed Jan  3 13:52:33 UTC 2018
#@# ASeg Stats Wed Jan  3 13:52:46 UTC 2018
#@# WMParc Wed Jan  3 14:00:30 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 14:20:23 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 14:28:02 UTC 2018
recon-all -s 3359 finished without error at Wed Jan  3 14:35:50 UTC 2018
