status file for recon-all
Mon Jan  8 18:45:36 UTC 2018
#@# MotionCor Mon Jan  8 18:46:34 UTC 2018
#@# Talairach Mon Jan  8 18:46:47 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 18:51:35 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 18:51:36 UTC 2018
#@# Intensity Normalization Mon Jan  8 19:07:19 UTC 2018
#@# Skull Stripping Mon Jan  8 19:11:01 UTC 2018
#@# EM Registration Mon Jan  8 19:59:03 UTC 2018
#@# CA Normalize Mon Jan  8 20:47:23 UTC 2018
#@# CA Reg Mon Jan  8 20:50:49 UTC 2018
#@# SubCort Seg Tue Jan  9 04:29:49 UTC 2018
#@# Merge ASeg Tue Jan  9 07:30:18 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 07:30:18 UTC 2018
#@# Mask BFS Tue Jan  9 07:38:00 UTC 2018
#@# WM Segmentation Tue Jan  9 07:38:05 UTC 2018
#@# Fill Tue Jan  9 07:43:09 UTC 2018
#@# Tessellate lh Tue Jan  9 07:45:04 UTC 2018
#@# Tessellate rh Tue Jan  9 07:45:20 UTC 2018
#@# Smooth1 lh Tue Jan  9 07:45:36 UTC 2018
#@# Smooth1 rh Tue Jan  9 07:45:47 UTC 2018
#@# Inflation1 lh Tue Jan  9 07:45:59 UTC 2018
#@# Inflation1 rh Tue Jan  9 07:47:18 UTC 2018
#@# QSphere lh Tue Jan  9 07:48:34 UTC 2018
#@# QSphere rh Tue Jan  9 07:56:15 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 08:04:12 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 08:04:13 UTC 2018
#@# Fix Topology lh Tue Jan  9 08:04:13 UTC 2018
#@# Fix Topology rh Tue Jan  9 09:03:41 UTC 2018
#@# Make White Surf lh Tue Jan  9 09:25:22 UTC 2018
#@# Make White Surf rh Tue Jan  9 09:35:48 UTC 2018
#@# Smooth2 lh Tue Jan  9 09:46:17 UTC 2018
#@# Smooth2 rh Tue Jan  9 09:46:28 UTC 2018
#@# Inflation2 lh Tue Jan  9 09:46:40 UTC 2018
#@# Inflation2 rh Tue Jan  9 09:47:53 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 09:49:08 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 09:51:46 UTC 2018
#@# Curvature Stats lh Tue Jan  9 09:54:20 UTC 2018
#@# Curvature Stats rh Tue Jan  9 09:54:28 UTC 2018
#@# Sphere lh Tue Jan  9 09:54:35 UTC 2018
#@# Sphere rh Tue Jan  9 11:35:10 UTC 2018
#@# Surf Reg lh Tue Jan  9 13:24:04 UTC 2018
#@# Surf Reg rh Tue Jan  9 16:28:15 UTC 2018
#@# Jacobian white lh Tue Jan  9 18:41:39 UTC 2018
#@# Jacobian white rh Tue Jan  9 18:41:42 UTC 2018
#@# AvgCurv lh Tue Jan  9 18:41:45 UTC 2018
#@# AvgCurv rh Tue Jan  9 18:41:48 UTC 2018
#@# Cortical Parc lh Tue Jan  9 18:41:51 UTC 2018
#@# Cortical Parc rh Tue Jan  9 18:42:19 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 18:42:46 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 19:08:01 UTC 2018
#@# Surf Volume lh Tue Jan  9 19:32:26 UTC 2018
#@# Surf Volume rh Tue Jan  9 19:32:32 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 19:32:37 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 19:55:27 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 19:57:43 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 20:00:08 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 20:00:41 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 20:01:14 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 20:02:27 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 20:03:36 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 20:04:01 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 20:04:25 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 20:05:36 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 20:06:47 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 20:06:57 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 20:07:06 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 20:07:45 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 20:17:26 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 20:27:10 UTC 2018
#@# APas-to-ASeg Tue Jan  9 20:36:56 UTC 2018
#@# ASeg Stats Tue Jan  9 20:37:08 UTC 2018
#@# WMParc Tue Jan  9 20:42:19 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 20:59:33 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 21:07:47 UTC 2018
recon-all -s 3480 finished without error at Tue Jan  9 21:16:05 UTC 2018
